game,home,away,home_possession,home_goals,home_shots,home_shotsontarget,home_passes,home_passaccuracy,home_fouls,home_yellows,home_reds,home_offsides,home_corners,away_possession,away_goals,away_shots,away_shotsontarget,away_passes,away_passaccuracy,away_fouls,away_yellows,away_reds,away_offsides,away_corners,game_type,home_penalties,away_penalties
1,brazil,croatia,0.61,3,14,6,459,0.85,5,2,0,1,7,0.39,1,11,3,290,0.76,20,2,0,0,3,group,,
2,mexico,cameroon,0.62,1,9,4,495,0.85,11,1,0,5,2,0.38,0,13,1,289,0.81,12,1,0,3,5,group,,
3,spain,netherlands,0.64,1,10,4,619,0.87,5,1,0,5,4,0.36,5,14,10,339,0.81,18,3,0,5,1,group,,
4,chile,australia,0.65,3,10,5,638,0.86,9,1,0,1,3,0.35,1,13,4,329,0.79,18,3,0,1,1,group,,
5,colombia,greece,0.48,3,13,6,390,0.81,19,1,0,1,4,0.52,0,11,2,411,0.82,14,2,0,3,4,group,,
6,uruguay,costa rica,0.56,1,9,3,430,0.76,20,3,1,6,5,0.44,3,13,4,338,0.77,18,0,0,2,6,group,,
7,england,italy,0.44,1,18,5,468,0.90,8,1,0,0,9,0.56,2,13,4,602,0.93,11,0,0,7,2,group,,
8,ivory coast,japan,0.58,2,21,5,472,0.88,12,2,0,3,8,0.42,1,7,2,340,0.79,13,2,0,1,5,group,,
9,switzerland,ecuador,0.62,2,17,6,485,0.87,9,1,0,1,8,0.38,1,10,4,288,0.79,15,1,0,4,5,group,,
10,france,honduras,0.71,3,20,5,656,0.91,13,3,0,1,8,0.29,0,4,1,268,0.79,14,2,1,2,0,group,,
11,argentina,bosnia and herzegovina,0.59,2,12,2,583,0.89,10,1,0,0,2,0.41,1,16,6,382,0.84,14,1,0,3,6,group,,
12,germany,portugal,0.57,4,13,6,548,0.88,8,0,0,2,4,0.43,0,13,4,407,0.87,12,1,1,1,6,group,,
13,iran,nigeria,0.31,0,9,1,211,0.70,18,1,0,1,2,0.69,0,10,4,485,0.83,16,0,0,0,7,group,,
14,ghana,united states,0.62,1,21,3,456,0.82,10,2,0,5,7,0.38,2,8,4,275,0.73,12,0,0,1,3,group,,
15,belgium,algeria,0.68,2,17,8,581,0.88,20,1,0,3,7,0.32,1,3,1,276,0.72,18,1,0,0,2,group,,
16,brazil,mexico,0.54,0,14,6,396,0.82,13,2,0,5,4,0.46,0,13,2,351,0.77,18,2,0,0,3,group,,
17,russia,south korea,0.49,1,18,5,433,0.82,15,1,0,0,4,0.51,1,10,5,458,0.84,7,3,0,0,4,group,,
18,australia,netherlands,0.51,2,10,4,418,0.80,18,1,0,1,3,0.49,3,14,9,423,0.79,25,1,0,1,2,group,,
19,spain,chile,0.63,0,16,6,603,0.83,14,1,0,1,7,0.37,2,8,4,361,0.72,15,2,0,2,1,group,,
20,cameroon,croatia,0.41,0,17,2,280,0.81,11,0,1,0,4,0.59,4,18,9,392,0.85,9,1,0,4,7,group,,
21,colombia,ivory coast,0.44,2,11,6,319,0.78,11,0,0,3,5,0.56,1,13,3,388,0.82,14,2,0,2,5,group,,
22,uruguay,england,0.37,2,8,2,264,0.62,17,1,0,3,7,0.63,1,12,6,443,0.82,12,1,0,1,6,group,,
23,japan,greece,0.75,0,18,4,552,0.89,23,1,0,1,5,0.25,0,9,4,178,0.65,18,2,1,3,7,group,,
24,italy,costa rica,0.61,0,11,4,575,0.89,10,1,0,11,4,0.39,1,11,5,372,0.77,23,1,0,3,5,group,,
25,switzerland,france,0.59,2,17,4,504,0.84,12,0,0,1,5,0.41,5,22,12,347,0.80,15,1,0,2,3,group,,
26,honduras,ecuador,0.51,1,17,5,354,0.71,15,2,0,1,4,0.49,2,10,4,329,0.75,16,3,0,2,12,group,,
27,argentina,iran,0.75,1,21,4,518,0.90,7,0,0,0,10,0.25,0,8,3,156,0.62,14,2,0,1,6,group,,
28,germany,ghana,0.63,2,12,4,625,0.86,11,0,0,1,7,0.37,2,18,6,371,0.77,17,1,0,5,3,group,,
29,nigeria,bosnia and herzegovina,0.40,1,20,9,335,0.81,9,1,0,3,4,0.60,0,20,7,495,0.85,7,1,0,2,4,group,,
30,belgium,russia,0.51,1,12,2,373,0.79,14,2,0,7,5,0.49,0,12,3,358,0.81,9,1,0,0,8,group,,
31,south korea,algeria,0.52,2,8,4,386,0.80,13,2,0,1,7,0.48,4,15,5,367,0.79,16,1,0,1,5,group,,
32,united states,portugal,0.47,2,15,5,453,0.85,11,1,0,1,6,0.53,2,21,7,495,0.88,14,0,0,4,4,group,,
33,australia,spain,0.42,0,4,0,444,0.78,14,2,0,1,2,0.58,3,10,4,619,0.86,9,1,0,6,6,group,,
34,netherlands,chile,0.32,2,13,4,228,0.66,25,1,0,1,2,0.68,0,8,1,494,0.81,14,1,0,2,7,group,,
35,cameroon,brazil,0.45,1,12,1,318,0.79,14,3,0,1,6,0.55,4,19,11,387,0.83,19,0,0,3,7,group,,
36,croatia,mexico,0.55,1,10,3,402,0.80,17,1,1,1,7,0.45,3,11,4,336,0.77,12,2,0,1,9,group,,
37,italy,uruguay,0.57,0,9,1,460,0.83,19,2,1,3,3,0.43,1,14,5,345,0.76,19,2,0,1,3,group,,
