game,home,away,home_possession,home_goals,home_xgoals,home_shots,home_shotsontarget,home_passes,home_passaccuracy,home_fouls,home_yellows,home_reds,home_offsides,home_corners,away_possession,away_goals,away_xgoals,away_shots,away_shotsontarget,away_passes,away_passaccuracy,away_fouls,away_yellows,away_reds,away_offsides,away_corners,game_type,home_penalties,away_penalties
1,qatar,ecuador,0.47,0,0.3,5,0,434,0.80,15,4,0,3,1,0.53,2,1.2,6,3,486,0.84,15,2,0,4,3,group,,
2,england,iran,0.79,6,2.1,13,7,797,0.89,9,0,0,2,8,0.21,2,1.4,8,3,215,0.66,14,2,0,2,0,group,,
3,senegal,netherlands,0.46,0,0.9,15,4,385,0.79,13,2,0,2,0,0.54,2,0.7,10,3,436,0.81,13,1,0,1,7,group,,
4,united states,wales,0.59,1,0.8,6,1,567,0.87,15,4,0,1,5,0.41,1,1.5,7,3,403,0.76,13,2,0,1,3,group,,
5,argentina,saudi arabia,0.70,1,2.2,15,6,596,0.85,7,0,0,10,9,0.30,2,0.1,3,2,266,0.68,21,6,0,1,2,group,,
6,denmark,tunisia,0.62,0,1.4,11,5,595,0.84,9,2,0,1,11,0.38,0,0.9,13,1,374,0.74,10,1,0,1,9,group,,
7,mexico,poland,0.61,0,0.7,11,4,487,0.83,14,2,0,3,6,0.39,0,0.9,6,2,322,0.70,15,1,0,0,5,group,,
8,france,australia,0.63,4,4.0,23,7,723,0.89,5,0,0,0,8,0.37,1,0.5,4,1,440,0.83,11,3,0,0,1,group,,
9,morocco,croatia,0.35,0,0.4,8,2,348,0.78,16,1,0,0,0,0.65,0,0.5,5,2,642,0.85,11,0,0,1,5,group,,
10,germany,japan,0.74,1,3.1,26,9,771,0.88,6,0,0,4,6,0.26,2,1.5,12,4,269,0.70,14,0,0,4,6,group,,
11,spain,costa rica,0.82,7,3.5,17,8,1045,0.93,8,0,0,3,5,0.18,0,0.0,0,0,230,0.71,12,2,0,7,0,group,,
